Mbps1,Mbps2,Mbps3
40.3,26.9,10.6
28.1,26.1,21.7
25.6,25.6,25.1
44.1,22.9,11.0
42.8,19.9,15.1
38.6,23.7,15.9
25.4,25.3,25.0
46.2,22.2,9.73
28.3,26.6,20.9
26.9,26.7,22.9
46.8,20.7,10.7
42.7,22.7,12.4
38.6,24.1,15.4
25.3,25.2,24.9
40.8,23.9,12.9
27.5,25.6,22.5
28.0,27.8,21.2
44.8,24.0,9.43
38.4,23.2,15.8
35.6,26.7,15.5
25.4,25.2,24.9
45.9,22.7,9.31
28.5,26.4,20.9
27.0,26.8,22.8
45.1,22.4,10.5
43.2,22.8,12.0
35.4,27.7,14.9
25.4,25.3,25.0
44.2,24.8,8.91
27.5,25.7,22.5
26.5,26.3,23.6
51.4,18.7,8.52
35.3,26.1,15.5
38.5,22.8,16.9
25.4,25.3,25.0
